,id,degree
0,14301334,47
1,12053132,75
2,15413301,49
3,9645732,48
4,8220792,35
5,657863,66
6,12109952,68
7,26315349,67
8,9498152,56
9,15840385,77
10,15357608,68
11,17703765,88
12,12538472,48
13,16865502,79
14,6281792,65
15,7780852,55
16,5996402,85
17,1737011,75
18,16497976,69
19,43223610,74
20,5967812,56
21,3149631,63
22,18939033,38
23,14774443,27
24,14316850,21
25,9884622,82
26,14303355,64
27,15958614,38
28,5763262,43
29,9423662,82
30,7423512,79
31,817268,46
32,166369152,11
33,9570302,69
34,930061,45
35,10068722,65
36,14368300,80
37,5980442,54
38,14362294,84
39,15178133,52
40,15061970,29
41,5746402,11
42,45218129,70
43,20918020,70
44,18327902,52
45,7846,44
46,18087370,54
47,1586501,34
48,17104751,22
49,43328989,28
50,16627822,67
51,327267369,46
52,12034532,54
53,15485441,35
54,27042513,12
55,5609462,70
56,21255367,13
57,14424826,69
58,1652541,29
59,15109840,40
60,74233,93
61,382630878,12
62,216888261,22
63,106635398,65
64,23613776,8
65,39164896,30
66,97984818,26
67,115650417,23
68,5379992,70
69,11224342,52
70,33506176,34
71,2659631,99
72,46816187,21
73,10935622,83
74,10454562,89
75,48302912,34
76,1125681,58
77,14057933,44
78,330690616,30
79,17389650,43
80,3496641,35
81,13934912,60
82,52556532,23
83,1758271,33
84,784912,22
85,652193,46
86,610533,42
87,10350,51
88,14406208,73
89,11435642,41
90,5768872,47
91,11864262,28
92,3829151,60
93,36640820,54
94,5790132,81
95,14262796,38
96,14291326,76
97,60555486,86
98,1620241,44
99,33189661,90
100,20297371,47
101,636923,14
102,8950222,59
103,3840,93
104,80008888,32
105,403518639,14
106,14964767,18
107,1277041,44
108,80854111,18
109,79242506,13
110,15823784,23
111,11666142,41
112,16054090,27
113,747863,57
114,14763,22
115,52451443,21
116,1442101,68
117,5386032,18
118,28349370,9
119,17960638,69
120,767396,38
121,2627491,29
122,739223,55
123,91292413,48
124,19546657,46
125,217566159,19
126,28539923,22
127,14331688,33
128,12369602,62
129,6545352,80
130,14077607,60
131,11740902,30
132,199636537,28
133,6449392,29
134,1501471,46
135,14158619,18
136,19564508,19
137,5702,33
138,29324093,25
139,917321,24
140,6476742,38
141,1491971,52
142,749863,33
143,648523,15
144,7093352,37
145,16115549,42
146,77712736,58
147,3626301,44
148,74255297,25
149,7980402,4
150,72329972,9
151,10011372,34
152,2230871,30
153,83497983,12
154,16120265,27
155,13594872,43
156,16232820,17
157,1010181,39
158,236348869,11
159,22938914,21
160,13055232,31
161,12773,24
162,42052422,21
163,15199539,14
164,14413715,32
165,62462987,9
166,67305632,52
167,7282592,15
168,15437924,15
169,7745472,31
170,816214,38
171,732773,48
172,142677826,12
173,27609219,25
174,1835411,30
175,14220739,15
176,93017945,11
177,1004,8
178,14326840,29
179,10314702,28
180,24083901,7
181,172814159,3
182,17101331,25
183,21296750,5
184,14134204,36
185,14645160,24
186,57973034,18
187,224257403,6
188,180463340,12
189,1242511,31
190,7608352,19
191,26053643,9
192,14372143,24
193,7541162,7
194,157422963,11
195,14159148,5
196,36637295,7
197,26403506,6
198,251140802,12
199,23041630,6
200,1720771,1
201,179059513,4
202,213903671,3
203,29856819,4
204,14740392,2
205,14740227,1
206,151232686,1
207,48626190,4
208,29851021,4
209,41653366,2
210,161801527,4
211,15271920,2
212,16890969,2
213,185518062,2
214,185517320,3
215,163877154,3
216,242989196,5
217,266507694,1
218,151781581,3
219,17357880,2
