,id,degree
0,97477051,81
1,95461374,62
2,20999409,46
3,47787563,113
4,104301012,74
5,182925539,92
6,156027745,68
7,20203701,54
8,68129991,43
9,48132655,79
10,236840136,76
11,57875811,90
12,19064433,76
13,15070224,72
14,280162221,46
15,15498547,5
16,14452279,6
17,29872754,77
18,106831987,78
19,15924858,94
20,145739229,11
21,7861312,59
22,18131817,6
23,21158690,24
24,359582559,39
25,113859309,68
26,204640298,64
27,109127449,28
28,52025380,58
29,370958925,66
30,96149423,41
31,239970376,65
32,1608991,85
33,74146461,32
34,132875573,47
35,33627597,19
36,20875991,16
37,123432861,11
38,182609394,76
39,156744048,38
40,11782522,4
41,21061352,2
42,2354291,11
43,5924082,6
44,14751235,31
45,66649152,65
46,333872734,37
47,134943586,80
48,174729114,17
49,29199880,12
50,324867634,46
51,182108867,64
52,224260861,13
53,12566522,8
54,143950772,85
55,42379291,61
56,17296523,34
57,239141315,59
58,66499322,79
59,12478932,66
60,270242863,48
61,296762498,65
62,193185958,84
63,229969377,39
64,47766490,77
65,273120131,85
66,209806284,42
67,510846454,33
68,10078882,64
69,234056092,52
70,15342811,80
71,66691804,74
72,327861573,69
73,193408865,6
74,16700878,20
75,28192145,81
76,138003731,99
77,256651717,54
78,7861622,15
79,20150783,47
80,115060775,24
81,182159386,64
82,47785747,85
83,22682436,73
84,370244456,50
85,127012541,45
86,3245291,74
87,105744682,10
88,36803580,25
89,14230524,10
90,347376996,31
91,204750852,38
92,96828017,14
93,126881128,28
94,112871197,30
95,14448205,84
96,37668875,20
97,194893556,27
98,275623719,34
99,183786731,72
100,225791964,33
101,179240942,8
102,16852229,15
103,17976798,58
104,28650455,89
105,322069904,62
106,246453983,47
107,17972871,57
108,16144949,65
109,179453,12
110,148727717,54
111,16504528,74
112,18469843,17
113,78982926,13
114,14148601,28
115,95150832,14
116,19789046,27
117,50894526,30
118,16747981,34
119,109334785,11
120,361911748,29
121,14307454,14
122,36981972,19
123,16162631,17
124,39758899,54
125,20747741,15
126,18704392,16
127,2387401,5
128,26281970,30
129,124450322,19
130,56973040,48
131,63485337,38
132,7384432,53
133,226193867,37
134,81672604,6
135,186325424,10
136,237845487,20
137,14314610,11
138,14643449,15
139,374519027,21
140,144927062,3
141,783214,12
142,17593847,19
143,68503464,52
144,315432213,23
145,23039989,46
146,20609518,21
147,22974322,18
148,43003845,2
149,40981798,1
150,177890594,30
151,41114223,6
152,33169524,6
153,8039442,5
154,11319282,9
155,110724180,3
156,371838939,12
157,15085200,25
158,160118681,18
159,173979416,11
160,199370728,18
161,140519931,55
162,139986343,3
163,14749606,10
164,62581962,13
165,22150400,12
166,21522083,7
167,24810011,2
168,2011081,11
169,9703892,3
170,20617734,6
171,63567520,3
172,68785753,23
173,364473482,16
174,165842647,3
175,119276733,10
176,183662591,2
177,167239758,20
178,14880937,9
179,63172203,2
180,23871118,20
181,117584350,2
182,47743151,1
183,270736655,8
184,14259641,16
185,16367575,8
186,87541880,7
187,178098680,3
188,57107167,20
189,14530730,4
190,385244185,1
191,54285787,12
192,18391454,2
193,29396753,1
194,98335997,4
195,179036971,1
196,16400388,3
197,19373710,1
198,21541796,6
199,20283403,1
200,14706299,3
201,11627252,1
202,36031020,2
203,15954442,2
204,161711842,3
205,113445890,5
206,17221819,3
207,20032100,1
208,71272413,1
209,16173592,1
210,12579252,1
211,15594414,1
212,17114328,2
213,65687979,1
